code,name,batch,,,,,,
RENT,RENT,xxx,,,,,,
PACKTAG,TAG ROLL,XXX,,,,,,
PACKTAG,TAG ROLL,XXX,,,,,,
WLCMD,COLIMEX DROPS,CRR007A,,,,,,
XXCKS,GIFT ITEM,SHOWER TO,,,,,,
XXCKS,GIFT ITEM,ZINCOLD TA,,,,,,
XXCLB,GIFT BAG,TRELLIS,,,,,,
XXCKS,GIFT ITEM,PAINT/SHAR,,,,,,
XXCKS,GIFT ITEM,NA,,,,,,
XXCKS,GIFT ITEM,NA,,,,,,
N2,TIFFIN BOX/FLASK NO,FOC,,,,,,
XXCKS,GIFT ITEM,NA,,,,,,
CICPR,ROTAHALER,03J20020,,,,,,
BDES2,BD EMERALD SYRINGE,30523,,,,,,
BDEM3,BD EMERALD SYRINGE,32479,,,,,,
BDEM3,BD EMERALD SYRINGE,35475,,,,,,
CICPR,ROTAHALER,03J20002,,,,,,
BDES5,BD EMERALD SYRINGE,9364723,,,,,,
BDEM3,BD EMERALD SYRINGE,9362434,,,,,,
BDE10,BD EMERALD SYRINGE,9362439,,,,,,
BDES2,BD EMERALD SYRINGE,9362431,,,,,,
BDES2,BD EMERALD SYRINGE,9362431,,,,,,
CICRE,REVOLIZER,38J19080,,,,,,
BDINS,BD INSULIN SYRINGE U 40,9231178,,,,,,
BDINS,BD INSULIN SYRINGE U 40,9231186,,,,,,
SUNZT,ZEPTOL 200MG TAB***,ESU1718,,,,,,
BDINS,BD INSULIN SYRINGE U 40,9231174,,,,,,
PFM16,MEDROL 16MG TABS,DA3714,,,,,,
BDINU,BD INSULIN SYRINGE U 100,9154702,,,,,,
PFMD4,MEDROL 4MG TABS,CY9788,,,,,,
APNRT,NEERI TAB **,NERT3371D,,,,,,
MLOC1,OMNACORTIL 10MG TAB,GOC2024A,,,,,,
WASEK,SENSODENT-K,SAF13BB4,,,,,,
WASK5,SENSODENT-K,SAF39BB4,,,,,,
WASE5,SENSOFORM,SAG5BB4,,,,,,
UQMG2,METROGYL 200MG TAB,AM20006,,,,,,
UQMG2,METROGYL 200MG TAB,AM20010,,,,,,
MIDPT,DOLOPAR TAB***,DOCS0134,,,,,,
MDAV5,AMLOVAS 5MG TAB,KAB2002A,,,,,,
MLOC1,OMNACORTIL 10MG TAB,GOC2030A,,,,,,
MLOC1,OMNACORTIL 10MG TAB,GOC2031A,,,,,,
MLOC2,OMNACORTIL 20MG TAB,GOD2008A,,,,,,
MLOC5,OMNACORTIL 5MG TAB,GOB2015A,,,,,,
GRCV6,CANDID-V6 TABS,50200004,,,,,,
WASE1,SENSOFORM,SAG12AB4,,,,,,
MDAV5,AMLOVAS 5MG TAB,KAB2001B,,,,,,
CBTT2,TEGRITAL 200MG TAB,210CPAO0,,,,,,
MIDL6,DOLO-650MG TAB***,DOBS1856,,,,,,
GMDRA,DERIPHYLIN AMP,AIW1017,,,,,,
MDAV2,AMLOVAS 2.5MG TAB,KAA909B,,,,,,
AFDE1,EPILAN TABS,12918P,,,,,,
WASF1,SENSODENT KF,SAD16LA4,,,,,,
GRCNP,CANDID POWDER,72190424,,,,,,
ALAC5,ALCIPRO 500MG TAB,19442903,,,,,,
INCPT,CYCLOPAM TAB,CEB5K97,,,,,,
MIDL6,DOLO-650MG TAB***,DOBS1775,,,,,,
MIDL6,DOLO-650MG TAB***,DOBS1782,,,,,,
GRCDP,CANDID POWDER,34191683,,,,,,
GMPD5,PROLUTON DEPOT 500 AMP,G905317,,,,,,
UQMG2,METROGYL 200MG TAB,AM29064,,,,,,
GRCV3,CANDID-V3 TABS,50190061,,,,,,
GRDCB,DECA DURABOLIN  50MG AMP,G904712,,,,,,
GMDRA,DERIPHYLIN AMP,BGV1196,,,,,,
MDO4T,OFLOMAC 400MG TAB,KOC903A,,,,,,
MLOT5,OMNITAN 50MG TAB,KOR902A,,,,,,
ECAM5,ASOMEX 5MG TAB,E16AQ20002,,,,,,
GRDDL,DECA DURABOLIN  25MG AMP,G905036,,,,,,
MDO4T,OFLOMAC 400MG TAB,KOC902B,,,,,,
ECAM2,ASOMEX 2.5MG TAB,E16AP20003,,,,,,
HMCTT,CYSTONE TAB,192000403,,,,,,
WASF5,SENSODENT KF,SAD12G94,,,,,,
MDO3T,OFLOMAC 300MG TAB,KOP901A,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0038,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB038,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0041,,,,,,
ECAM2,ASOMEX 2.5MG TAB,E16AP19027,,,,,,
USGM5,GLYCOMET 500MG TABS **,28020752,,,,,,
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0040,,,,,,
GMPD2,PROLUTON DEPOT 250 AMP,G902869,,,,,,
